bottle,variety,country,description,designation,points,price,province,region_1,region_2,winery,taster_name,taster_twitter_handle
Château Lafite Rothschild 2010  Pauillac,Bordeaux-style Red Blend,France,"Almost black in color, this stunning wine is gorgeous, rich and dense. It's grand and powerful, with a strong sense of its own importance. The beautiful tannins and the fragrant black currant fruits are palpable. It's a great wine, with huge potential.",[EMPTY],100,1500,Bordeaux,Pauillac,[EMPTY],Château Lafite Rothschild,Roger Voss,@vossroger
Casanova di Neri 2007 Cerretalto  (Brunello di Montalcino),Sangiovese Grosso,Italy,"It takes only a few moments before you appreciate the enormity, intensity and overall beauty of this landmark wine. Cerretalto is always a high scoring expression of Brunello, but the ideal conditions of the 2007 vintage elevate it to earthly perfection. Dark and fleshy, the wine delivers ever-evolving aromas of dark fruit, chocolate, spice and tobacco. The acidity is carefully balanced against the wine's thickness and rich texture. The finish is long, luscious and elegant. Keep this bottle in your cellar 10 years or more.",Cerretalto,100,270,Tuscany,Brunello di Montalcino,[EMPTY],Casanova di Neri,[EMPTY],[EMPTY]
Château Cheval Blanc 2010  Saint-Émilion,Bordeaux-style Red Blend,France,"This is the finest Cheval Blanc for many years. It is, quite simply, magnificent. The wine shows the greatness of Cabernet Franc in the vintage, with 57% of the variety in the blend. It is beautifully structured and perfumed, with velvety tannins, balanced acidity and swathes of black-currant and black-cherry fruits. It's well on course to becoming a legendary wine.",[EMPTY],100,1500,Bordeaux,Saint-Émilion,[EMPTY],Château Cheval Blanc,Roger Voss,@vossroger
Château Léoville Las Cases 2010  Saint-Julien,Bordeaux-style Red Blend,France,"A hugely powerful wine, full of dark, brooding tannins. It's a wine for seriously long-term aging, a sculptural vision of classic Bordeaux structure with with classy, ripe blackberry fruits. It has fresh acidity and an immense full-bodied character, cut through with mineral acidity. A great wine, with great potential.",[EMPTY],100,359,Bordeaux,Saint-Julien,[EMPTY],Château Léoville Las Cases,Roger Voss,@vossroger
Charles Smith 2006 Royal City Syrah (Columbia Valley (WA)),Syrah,US,"In 2005 Charles Smith introduced three high-end Syrahs. In 2006 Smith has made a wine better than each of these, by combining them into a single wine—Royal City Syrah. Rich scents of purple fruit, smoked meat, cedar, lead pencil, moist earth and so on proclaim a wine with genuine gravitas. There is nothing missing, from the first sniff to the last sip, the wine delivers on all levels. Complex, beautifully balanced, powerful and detailed.",Royal City,100,80,Washington,Columbia Valley (WA),Columbia Valley,Charles Smith,Paul Gregutt,@paulgwine 
Quinta do Noval 2011 Nacional Vintage  (Port),Port,Portugal,"A powerful and ripe wine, strongly influenced by its tannins, super ripe black fruit and great structure. It has all the hallmarks of a long-lived vintage Port—very rich, while densely textured and firm. This is an amazing, impressive, concentrated wine, with huge potential. From a parcel of ungrafted vines at Noval.",Nacional Vintage,100,650,Port,[EMPTY],[EMPTY],Quinta do Noval,Roger Voss,@vossroger
Verité 2007 La Muse Red (Sonoma County),Bordeaux-style Red Blend,US,"This wine dazzles with perfection. Sourced from vineyards throughout Sonoma County, it refutes the belief that a great Cabernet must come from a single vineyard. It does not. The master's art of blending, coupled with demanding vineyard practices lends completeness. The blend is 85% Merlot, 10% Cabernet Franc and 5% Malbec, making it an extraordinary success despite the absence of Cabernet Sauvignon. Give credit to winemaker Pierre Seillan. The wine itself is absolutely dry. It starts with a tug of tannins, baring flavors of blackberries, black currants, minerals and new oak, with earthy, herbal and meaty complexities. This is a magnificent wine; it dazzles now and should evolve over the next 6–8 years.",La Muse,100,450,California,Sonoma County,Sonoma,Verité,[EMPTY],[EMPTY]
Château Haut-Brion 2014  Pessac-Léognan,Bordeaux-style White Blend,France,"Full of ripe fruit, opulent and concentrated, this is a fabulous and impressive wine. It has a beautiful line of acidity balanced with ripe fruits. The wood aging is subtle, just a hint of smokiness and toast. This is one of those wines, from a great white wine vintage, that will age many years. Drink from 2024.",[EMPTY],100,848,Bordeaux,Pessac-Léognan,[EMPTY],Château Haut-Brion,Roger Voss,@vossroger
Cayuse 2008 Bionic Frog Syrah (Walla Walla Valley (WA)),Syrah,US,"Initially a rather subdued Frog; as if it has been tamed down. Then, suddenly, There's a plush core of blackberry fruit, and the classic Cayuse funkiness is there, drenched in liquid rocks and cured meat and drying tannins. It's all in proportion and a fine reflection of the steely vintage. As it opens gracefully you discover that it is a stunningly refined Frog, quite possibly the best ever; powerful and distinctive, but also elegant, feminine.",Bionic Frog,100,80,Washington,Walla Walla Valley (WA),Columbia Valley,Cayuse,Paul Gregutt,@paulgwine 
Quilceda Creek 2008 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,US,"The flagship wine from Quilceda Creek offers exotic scents of plum, cassis, loam, coffee and pine sap, a rich and evocative blend. The wine delivers all that is promised and more; it is deep and dense with flavor, polished, focused and persistent. Vanilla, espresso, fine tannins, luscious acids and cascading fruits.",[EMPTY],99,125,Washington,Columbia Valley (WA),Columbia Valley,Quilceda Creek,Paul Gregutt,@paulgwine 
Williams Selyem 2009 Precious Mountain Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,US,"A stupendous Pinot Noir, showing how beautifully this vineyard performs in the remote Sonoma Coast above Fort Ross. Williams Selyem's last few vintages of Precious Mountain have been extraordinary, but this 2009 tops them all. The wine is as light as a feather in the mouth, modest in alcohol and delicately feminine, like pure satin. However, few Pinot Noirs in the world achieve this level of concentration. Wild raspberries and cherries, cola, sleek minerals, dusty baking spices and smoky oak combine for flavors that are utterly delicious. After all that, it possesses an indefinable attribute of fascination. Will age well for a long time, if you can keep your hands off it. Now–2021.",Precious Mountain Vineyard,99,94,California,Sonoma Coast,Sonoma,Williams Selyem,[EMPTY],[EMPTY]
Tenuta San Guido 2012 Sassicaia  (Bolgheri Sassicaia),Red Blend,Italy,"One of Italy's most iconic bottlings, the 2012 Sassicaia is drop-dead gorgeous. A blend of 85% Cabernet Sauvignon and 15% Cabernet Franc, it boasts sensations of blue flowers, cedar, juicy red currants, ripe raspberries, white pepper and a balsamic note. Structured, radiant and loaded with finesse, it delivers everything you'd expect from a world-class wine and more. Drink 2018–2032.",Sassicaia,99,235,Tuscany,Bolgheri Sassicaia,[EMPTY],Tenuta San Guido,Kerin O’Keefe,@kerinokeefe
Krug 2002 Clos du Mesnil Brut Blanc de Blancs Chardonnay (Champagne),Chardonnay,France,"Pure Chardonnay from the walled vineyard in the heart of Le Mesnil, this intense wine from a great vintage is tight and mineral, still showing hints of toast from its barrel fermentation. With its taut texture, complex acidity and crisp citrus, it's very young, but will age indefinitely. Showing the beauty of Chardonnay in Champagne at its best, it will certainly still be impressive come 2030.",Clos du Mesnil Brut Blanc de Blancs,99,800,Champagne,Champagne,[EMPTY],Krug,Roger Voss,@vossroger
Le Macchiole 2007 Messorio Merlot (Toscana),Merlot,Italy,"Here's a “wow” wine you won't easily forget. Messorio is all Merlot, and happily delivers the softness, richness and overall opulence that we love in this noble grape variety. What elevates this particular expression and vintage is the true elegance and sophistication evident here. This is a huge wine, but it's not exaggerated and the finish is as long and smooth as they come.",Messorio,99,320,Tuscany,Toscana,[EMPTY],Le Macchiole,[EMPTY],[EMPTY]
Domaine Huët 2009 Cuvée Constance 500ml  (Vouvray),Chenin Blanc,France,"Even more concentrated than Huët's superb 2009 Première Trie, this is outstanding. It has both great concentration and elegance. The wine is touched by botrytis, while retaining freshness. Made from ripe, just shrivelling grapes, this is sweet Vouvray at its magnificent best.",Cuvée Constance 500ml,99,159,Loire Valley,Vouvray,[EMPTY],Domaine Huët,Roger Voss,@vossroger
Mascarello Giuseppe e Figlio 2008 Cà d'Morissio Riserva  (Barolo),Nebbiolo,Italy,"This stunning wine is all about extreme elegance and subtlety. It opens with aromas of wild red berry, rose petal, sweet baking spice and a whiff aromatic herb while the focused palate delivers red cherry, crushed raspberry, licorice, pipe tobacco and white pepper. A firm backbone of polished tannins and vibrant acidity gives it an age-worthy structure. It's loaded with finesse and should develop even more complexity over time. Drink 2018–2033.",Cà d'Morissio Riserva,99,595,Piedmont,Barolo,[EMPTY],Mascarello Giuseppe e Figlio,Kerin O’Keefe,@kerinokeefe
Mascarello Giuseppe e Figlio 2010 Monprivato  (Barolo),Nebbiolo,Italy,"Elegant and complex, this gorgeous wine is all about finesse, offering enticing aromas of rose petal, iris, perfumed berry, baking spices, anise and chopped aromatic herbs. The structured but silky palate seamlessly melds together juicy Morello cherry, crushed raspberry, cinnamon, clove, licorice and tobacco while bright acidity and ultrafine tannins provide the framework. It's already tempting and impeccably balanced but will be even better in a few years. Drink 2018–2030.",Monprivato,99,175,Piedmont,Barolo,[EMPTY],Mascarello Giuseppe e Figlio,Kerin O’Keefe,@kerinokeefe
Cayuse 2009 En Chamberlin Vineyard Syrah (Walla Walla Valley (OR)),Syrah,US,"In a vintage that produced the finest overall lineup of Cayuse wines to date, it may seem a little nit-picky to score some higher and some lower. But the En Chamberlin deserves first place again. Brilliant aromatics of smoked meat, bacon fat and otherworldly roasted accents seduce instantly. Once on the palate, the silky, balanced, near-perfect mix of umami and fruit, plus licorice, cassis, coffee liqueur and black tea notes suggest it's as decadent as it is delicious.",En Chamberlin Vineyard,99,75,Oregon,Walla Walla Valley (OR),Oregon Other,Cayuse,Paul Gregutt,@paulgwine 
Williams Selyem 2010 Hirsch Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,US,"This expresses the greatness of its vintage and vineyard, offering wave after wave of raspberry and cherry pie flavors, plus notes of red currant, sweet licorice, spicy Dr. Pepper and smoky sandalwood. There's also something exotically briary and wild that intrigues. Even more remarkable is the texture, an amalgam of acids and tannins that rivals any Pinot Noir ever produced in California. It should age for up to 20 years.",Hirsch Vineyard,99,75,California,Sonoma Coast,Sonoma,Williams Selyem,[EMPTY],[EMPTY]
Cayuse 2011 En Chamberlin Vineyard Syrah (Walla Walla Valley (OR)),Syrah,US,"Dark and concentrated, this sends up complex aromas saturated with tar, asphalt, ink, steel, smoke and charred barbecue. It's a beautiful wine, tight and textural, in perfect balance, with superb depth, precision and elegance. The most contemplative of a superb 2011 Cayuse lineup, this wine above all needs your full attention.",En Chamberlin Vineyard,99,75,Oregon,Walla Walla Valley (OR),Oregon Other,Cayuse,Paul Gregutt,@paulgwine 
Casa Ferreirinha 2004 Barca Velha Red (Douro),Portuguese Red,Portugal,"This is the latest release of Portugal's most iconic wine. It's made only in selected years (the last vintage was 2000) from Ferreira's Quinta da Leda in the Douro Superior. This new vintage is superb. It's a richly tarry wine laden with dark plum fruits and tannins that are just beginning to mature. It's a ripe and luscious, demanding attention, yet will still age for many years. Drink now, or hold until 2020.",Barca Velha,99,426,Douro,[EMPTY],[EMPTY],Casa Ferreirinha,Roger Voss,@vossroger
Penfolds 2010 Grange Shiraz (South Australia),Shiraz,Australia,"This inky, embryonic wine deserves to be cellared until at least 2025 and should drink well for at least 25 years after that. It takes its time opening up in the glass to reveal notes of grilled meat, vanilla and plum. In the mouth, it's full bodied and firmly built, with a wall of chewy tannins surrounding a deep ripe core.",Grange,99,850,South Australia,South Australia,[EMPTY],Penfolds,Joe Czerwinski,@JoeCz
Gaja 2007 Sorì Tildìn Nebbiolo (Langhe),Nebbiolo,Italy,"This is an elegant Nebbiolo-based wine and arguably the most feminine of Gaja's newest releases. There's extreme balance and sophistication evident in the focused aromas of wild berry, white licorice, pressed violets and polished stone. The mouthfeel is tight, firm and those tannins need at least 10 more years to soften in your cellar. Beautiful.",Sorì Tildìn,99,440,Piedmont,Langhe,[EMPTY],Gaja,[EMPTY],[EMPTY]
Gaja 2007 Sorì San Lorenzo Nebbiolo (Langhe),Nebbiolo,Italy,"Always a standout among Gaja's five single-vineyard wines, Sorì San Lorenzo benefits from an excellent vintage to produce what will surely become a must-have bottle for collectors of Italian wine. There's enormous beauty and elegance here, backed by power and intensity with ripe fruit, spice, toasted nut and cola. It also shows impressive linearity and focus. Hold for 10 years or more.",Sorì San Lorenzo,99,440,Piedmont,Langhe,[EMPTY],Gaja,[EMPTY],[EMPTY]
Tenuta dell'Ornellaia 2004 Masseto Merlot (Toscana),Merlot,Italy,"Even better than the highly acclaimed 2001 vintage, this Merlot from a tiny, clay soil vineyard in Bolgheri is just about everything you've ever dreamed of tasting. Gorgeous, generous, voluptuous, cheerful, succulent and intense: Masseto is all those things. The aromas are seamless and capture the essence of chocolate fudge, sweet cherry, blackberry, spice and vanilla. It boasts thick, dense extraction, excellent structure and amazing persistence.",Masseto,99,250,Tuscany,Toscana,[EMPTY],Tenuta dell'Ornellaia,[EMPTY],[EMPTY]
Avignonesi 1997 Occhio di Pernice  (Vin Santo di Montepulciano),Prugnolo Gentile,Italy,"This sweet wine from Italy is guaranteed to blow your socks off. Its thickness and density resembles concentrated maple syrup or molasses. It is made with Prugnolo Gentile (Sangiovese) grapes that are air-dried and then aged in small wood containers for many careful years. The gorgeous aromas include roasted chestnuts, brown sugar, prunes and sweet figs and you can sense the power too.",Occhio di Pernice,99,237,Tuscany,Vin Santo di Montepulciano,[EMPTY],Avignonesi,[EMPTY],[EMPTY]
Domaine Leflaive 2010  Bâtard-Montrachet,Chardonnay,France,"In this great year for white Burgundy, Bâtard-Montrachet shines out as the epitome of balance between superb fruit and intense mineral and terroir characters. Its subtle touch of wood highlights the unctuous surface texture while just hinting at the steel sharpness of the structure beneath. Age this superb wine for at least 10 years.",[EMPTY],99,560,Burgundy,Bâtard-Montrachet,[EMPTY],Domaine Leflaive,Roger Voss,@vossroger
Venge 2008 Family Reserve Cabernet Sauvignon (Oakville),Cabernet Sauvignon,US,"An absolute joy and triumph. Just superb, showcasing the best of Oakville. Perfect tannins, as pure as velvet and sweet, and perfect oak, too, with beautifully applied char and wood spice. That the oak is 100% new is in keeping with the wine's volumetrics. The wine's flavors are a profound, heady expression of blackberries, blueberries, cassis and dark, barely sweetened chocolate. Just spectacular, a real achievement by any world class standard. Production was a scant 275 cases.",Family Reserve,99,125,California,Oakville,Napa,Venge,[EMPTY],[EMPTY]
Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Muscadelle,Australia,"This wine is dark brown in hue with a greenish-gold tint to its rim, providing clues to its advanced age. The aromas are nutty, with mossy notes of rancio filled out by sweet flavors of dried dates and figs. It's full bodied and unctuous in texture, without being overblown or heavy on the palate. The intense finish lingers forever—or at least until you give in and take another sip.",Rare,99,300,Victoria,Rutherglen,[EMPTY],Chambers Rosewood Vineyards,Joe Czerwinski,@JoeCz
Château Ausone 2010  Saint-Émilion,Bordeaux-style Red Blend,France,"A big, bold wine with unbelievable power and concentration. Low yields and a dominance of Cabernet Franc have produced an immensely concentrated wine. Still very young, this magnificent wine holds the promise of great aging.",[EMPTY],99,[EMPTY],Bordeaux,Saint-Émilion,[EMPTY],Château Ausone,Roger Voss,@vossroger
Château Latour 2010  Pauillac,Bordeaux-style Red Blend,France,"Stern, almost severe initially, this great wine takes time to show its immense fruit power. Black currant and blackberry notes are packed into the wine, along with an impressive array of spices from new wood that gives a more exotic element. At the end, though, it has a fine, structured sense of proportion. Obviously for aging over decades,  so don't drink before 2022.",[EMPTY],99,[EMPTY],Bordeaux,Pauillac,[EMPTY],Château Latour,Roger Voss,@vossroger
Taylor Fladgate 2011 Vargellas Vinhas Velhas Vintage  (Port),Port,Portugal,"The sweetness of the wine vies with the acidity to bring out a dense structure, black currant flavors and firm tannins that are strongly integrated into the ripe texture. This is a gorgeous, dense, concentrated wine, coming into balance while showing great structure and potential.",Vargellas Vinhas Velhas Vintage,99,268,Port,[EMPTY],[EMPTY],Taylor Fladgate,Roger Voss,@vossroger
Château d'Yquem 2009 Barrel sample  (Sauternes),Bordeaux-style White Blend,France,"98-100 Barrel sample. The aromas are so rich and powerful, with great ripe apricots. There are honey, spice and beautiful sweet spiced pears. This is an extraordinary wine in an extraordinary year in Sauternes.",Barrel sample,99,[EMPTY],Bordeaux,Sauternes,[EMPTY],Château d'Yquem,Roger Voss,@vossroger
Château Palmer 2009 Barrel sample  (Margaux),Bordeaux-style Red Blend,France,"98-100 Barrel sample. Sumptuous, opulent, with gorgeous ripe fruit, and yet under 14 percent alcohol. The firm tannins are almost smothered by the delicious fruits. It is a great wine that expresses both the natural exuberance of Palmer and the rich fruit and balancing freshness of the vintage.",Barrel sample,99,[EMPTY],Bordeaux,Margaux,[EMPTY],Château Palmer,Roger Voss,@vossroger
Château Pontet-Canet 2009 Barrel sample  (Pauillac),Bordeaux-style Red Blend,France,"98-100 Barrel sample. A superb wine, with the purest fruit, great freshness and ripeness. It is certainly structured with dry tannins, but the blackcurrant freshness is all there. The wine has a great limpid, flowing feel, lbut also power.",Barrel sample,99,[EMPTY],Bordeaux,Pauillac,[EMPTY],Château Pontet-Canet,Roger Voss,@vossroger
Alpha Omega 2012 ERA Red (Napa Valley),Bordeaux-style Red Blend,US,"This blend from individual blocks includes 94% Cabernet Sauvignon, 4% Cabernet Franc and 2% Merlot. Juicy and round, it expresses chocolate, vanilla, dark cherry and cassis flavors and is a joy to drink and experience evolve. Despite plenty of ripe power and lushness, it also boasts substantial elegance.",ERA,99,300,California,Napa Valley,Napa,Alpha Omega,Virginie Boone,@vboone
Alpha Omega 2012 Stagecoach Vineyard Cabernet Sauvignon (Atlas Peak),Cabernet Sauvignon,US,"Juicy and seductively smooth, this blockbuster beauty from the revered vineyard site is big, bold and intense, with granular tannins and a grip of integrated French oak. Its bright cassis, lavender, Tahitian vanilla and dried herb flavors are irresistible right out the gate. Ripe and rewarding, it's one to remember.",Stagecoach Vineyard,99,250,California,Atlas Peak,Napa,Alpha Omega,Virginie Boone,@vboone
Failla 2010 Estate Vineyard Chardonnay (Sonoma Coast),Chardonnay,US,"Shows classic, full-throttle notes of tropical and citrus fruits, pears and sweet green apples, combined with strong minerality and complex layers of buttered toast, honey and creamy lees. The description alone hardly does justice to the wine's beauty. The acidity is perfect, the oak deftly applied, the finish long and completely satisfying. Winemaker Ehren Jordan suggests pairing it with simple fare like roast chicken and salted fingerling potatoes.",Estate Vineyard,99,44,California,Sonoma Coast,Sonoma,Failla,[EMPTY],[EMPTY]
Colgin 2008 IX Estate Red (Napa Valley),Red Blend,US,"This is an absolutely beautiful wine to drink now, but the richness comes at the price of considerable alcohol. The color is dark and impenetrable, the aromas huge in Cabernet-inspired blackberries and black currants, with a touch of something herbal and also a stony minerality. There's also a fascinating peatiness, like an Islay Scotch. It really opens up in the glass, becoming ever more complex. It's great Napa Valley Cabernet Sauvignon, but that high alcohol may limit its ageability.",IX Estate,99,290,California,Napa Valley,Napa,Colgin,[EMPTY],[EMPTY]
David Arthur 2009 Elevation 1147 Estate Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,US,"There are incredible aromatics on this Cabernet. It's powerful yet subtle (how can that be?), all about sweet, crushed summer blackberries and pure cassis liqueur. Elaborate oak, in the form of buttered toast, is perfectly in balance, never overshadowing the fruit. The tannins are dry, rich and smooth, defining Napa elegance, grace and beauty. World class, dramatic and just about perfect, this gets better and better as it breathes in the glass. Drink now–2030.",Elevation 1147 Estate,99,150,California,Napa Valley,Napa,David Arthur,[EMPTY],[EMPTY]
Il Marroneto 2012 Madonna delle Grazie  (Brunello di Montalcino),Sangiovese,Italy,"Perfumed berry, rose, new leather and dark spice are some of the enticing scents you'll find in this vibrant wine. It's still tightly wound but already dazzles with juicy wild cherry, crushed raspberry, cinnamon, nutmeg and pipe tobacco flavors. Youthfully austere but noble tannins and bright acidity provide balance and serious aging potential. Don't be tempted to open it soon—the best is yet to come. Drink 2022–2042.",Madonna delle Grazie,99,200,Tuscany,Brunello di Montalcino,[EMPTY],Il Marroneto,Kerin O’Keefe,@kerinokeefe
Trefethen 2005 Reserve Cabernet Sauvignon (Oak Knoll District),Cabernet Sauvignon,US,"This is nearly perfect, a massive, monumental wine whose sheer power is matched only by its grace and refinement. The flavors of blackberries, cassis, dark chocolate, buttered toast and cedar flood the mouth, tightly controlled by firm tannins and good acidity. Decant for several hours if you open it now, but better to give it 6–10 years in the bottle.",Reserve,99,100,California,Oak Knoll District,Napa,Trefethen,[EMPTY],[EMPTY]
Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),Muscadelle,Australia,"This deep brown wine smells like a damp, mossy cave. Then add complex rancio notes, plus maple syrup and molasses. It's full, round and harmonious, wonderfully rich yet without any sense of heaviness and long and bright on the finish.",Rare,98,350,Victoria,Rutherglen,[EMPTY],Chambers Rosewood Vineyards,Joe Czerwinski,@JoeCz
Château Margaux 2009  Margaux,Bordeaux-style Red Blend,France,"A massive wine for Margaux, packed with tannins and ripe fruit. It has more Cabernet Sauvignon than usual, giving intense black currant flavors with enticing acidity balanced by the sweetness of the fruit. Ripe swathes of this opulent fruit are also elegant and structured.",[EMPTY],98,1900,Bordeaux,Margaux,[EMPTY],Château Margaux,Roger Voss,@vossroger
Château Palmer 2009  Margaux,Bordeaux-style Red Blend,France,"A beautiful wine, with the firmest tannins surrounded by perfumed fruit. It is dense, of course, but this density is balanced with great elegance, blackberry fruits, sweetness and final juicy acidity. The wine is structured, a powerhouse of concentration while preserving this complete style.",[EMPTY],98,380,Bordeaux,Margaux,[EMPTY],Château Palmer,Roger Voss,@vossroger
Pirouette 2008 Red Wine Red (Columbia Valley (WA)),Bordeaux-style Red Blend,US,"A stunning Pirouette—63% Cabernet Sauvignon, 22% Merlot, 9% Cab Franc and 6% Petit Verdot. Full and magnificently rich, it is loaded with dense and thrilling fruit flavors of black cherry and cassis. A streak of iron and a hint of citrus keep the wine evolving through a long, beautifully balanced finish. Retasted after being open for 24 hours, the wine was as fresh and thrilling as on the first day.",Red Wine,98,50,Washington,Columbia Valley (WA),Columbia Valley,Pirouette,Paul Gregutt,@paulgwine 
Marchesi Antinori 2008 Guado al Tasso  (Bolgheri Superiore),Red Blend,Italy,"Here's a “wow” wine on every level, with incredible intensity and supple softness that builds momentum over many long minutes. A sweet cherry note at the core is surrounded by lush layers of tobacco, dark chocolate and spice, which promise to evolve gracefully over years to come.",Guado al Tasso,98,102,Tuscany,Bolgheri Superiore,[EMPTY],Marchesi Antinori,[EMPTY],[EMPTY]
